ID	Name	Bgd count	Result count	Result gene list	Pct of bgd	Fold enrichment	Odds ratio	P-value	Benjamini	Bonferroni
GO:0055085	transmembrane transport	192	50	LINF_020008000,LINF_110012200,LINF_110018150,LINF_110018200,LINF_110018300,LINF_110018350,LINF_110018400,LINF_110018700,LINF_130017100,LINF_150015400,LINF_180020600,LINF_180020700,LINF_180020800,LINF_180021000,LINF_210027500,LINF_230008700,LINF_240020050,LINF_280006400,LINF_280025700,LINF_280025800,LINF_290011200,LINF_290014600,LINF_290014900,LINF_290021500,LINF_290021600,LINF_290021700,LINF_310012900,LINF_310019500,LINF_310019600,LINF_310032200,LINF_310039500,LINF_310039600,LINF_310040800,LINF_330008300,LINF_330027100,LINF_340016200,LINF_340025700,LINF_350041200,LINF_360010400,LINF_360012300,LINF_360067500,LINF_360072800,LINF_360072900,LINF_360073000,LINF_360073100,LINF_360073200,LINF_360073300,LINF_360073400,LINF_360073500,LINF_360073600,	26.0	2.26	2.88	9.31392805428e-09	7.08789924931e-06	7.08789924931e-06
GO:0042127	regulation of cell population proliferation	4	4	LINF_250019700,LINF_350027300,LINF_350027400,LINF_350027500,	100.0	8.7	inf	0.000173122323454	0.0658730440741	0.131746088148
GO:0006006	glucose metabolic process	11	6	LINF_110007500,LINF_110016000,LINF_300035000,LINF_300035100,LINF_300035200,LINF_360030600,	54.5	4.74	9.33	0.000625129631854	0.0959412203471	0.475723649841
GO:1904659	glucose transmembrane transport	3	3	LINF_360072800,LINF_360073200,LINF_360073600,	100.0	8.7	inf	0.00151287075449	0.0959412203471	1.0
GO:0008645	hexose transmembrane transport	3	3	LINF_360072800,LINF_360073200,LINF_360073600,	100.0	8.7	inf	0.00151287075449	0.0959412203471	1.0
GO:0008284	positive regulation of cell population proliferation	3	3	LINF_350027300,LINF_350027400,LINF_350027500,	100.0	8.7	inf	0.00151287075449	0.0959412203471	1.0
GO:0006952	defense response	3	3	LINF_350027300,LINF_350027400,LINF_350027500,	100.0	8.7	inf	0.00151287075449	0.0959412203471	1.0
GO:0034219	carbohydrate transmembrane transport	3	3	LINF_360072800,LINF_360073200,LINF_360073600,	100.0	8.7	inf	0.00151287075449	0.0959412203471	1.0
GO:0015749	monosaccharide transmembrane transport	3	3	LINF_360072800,LINF_360073200,LINF_360073600,	100.0	8.7	inf	0.00151287075449	0.0959412203471	1.0
GO:0140115	export across plasma membrane	3	3	LINF_180020600,LINF_180020700,LINF_180020800,	100.0	8.7	inf	0.00151287075449	0.0959412203471	1.0
