ID	Name	Bgd count	Result count	Result gene list	Pct of bgd	Fold enrichment	Odds ratio	P-value	Benjamini	Bonferroni
GO:0042127	regulation of cell population proliferation	4	4	LINF_250019700,LINF_350027300,LINF_350027400,LINF_350027500,	100.0	29.23	inf	1.32165890954e-06	0.000458615641612	0.000458615641612
GO:0006952	defense response	3	3	LINF_350027300,LINF_350027400,LINF_350027500,	100.0	29.23	inf	3.93254338116e-05	0.0045486418442	0.0136459255326
GO:0008284	positive regulation of cell population proliferation	3	3	LINF_350027300,LINF_350027400,LINF_350027500,	100.0	29.23	inf	3.93254338116e-05	0.0045486418442	0.0136459255326
GO:0055085	transmembrane transport	192	18	LINF_110018150,LINF_110018200,LINF_110018300,LINF_110018350,LINF_110018400,LINF_110018700,LINF_180021000,LINF_240020050,LINF_280006400,LINF_280025700,LINF_280025800,LINF_290014600,LINF_290014900,LINF_310019500,LINF_310019600,LINF_310040800,LINF_330027100,LINF_350041200,	9.4	2.74	3.15	8.05167913803e-05	0.00698483165224	0.027939326609
GO:0009100	glycoprotein metabolic process	32	6	LINF_020006700,LINF_020006800,LINF_020006900,LINF_020007000,LINF_020007100,LINF_260014900,	18.8	5.48	6.72	0.00063277805683	0.0336363743695	0.21957398572
GO:0008150	biological process	2508	106	LINF_020006700,LINF_020006800,LINF_020006900,LINF_020007000,LINF_020007100,LINF_040007600,LINF_040017100,LINF_080013800,LINF_090006400,LINF_090011900,LINF_100017100,LINF_110007500,LINF_110010800,LINF_110018150,LINF_110018200,LINF_110018300,LINF_110018350,LINF_110018400,LINF_110018700,LINF_130006900,LINF_140012900,LINF_140013000,LINF_140017400,LINF_140017500,LINF_150009100,LINF_150009200,LINF_150012400,LINF_150019500,LINF_150019600,LINF_180009900,LINF_180010300,LINF_180021000,LINF_190019800,LINF_200010300,LINF_200017200,LINF_210014200,LINF_220009800,LINF_220010100,LINF_220017900,LINF_220018000,LINF_240014100,LINF_240020050,LINF_250012200,LINF_250019700,LINF_250021300,LINF_260008000,LINF_260013000,LINF_260013100,LINF_260014900,LINF_260021300,LINF_260021400,LINF_260021500,LINF_270008900,LINF_270010000,LINF_270023200,LINF_270023900,LINF_280006400,LINF_280013100,LINF_280020100,LINF_280020200,LINF_280025700,LINF_280025800,LINF_290011600,LINF_290012600,LINF_290014600,LINF_290014900,LINF_300011800,LINF_300011900,LINF_300012000,LINF_300034800,LINF_310019500,LINF_310019600,LINF_310019900,LINF_310027100,LINF_310040800,LINF_320014000,LINF_320023200,LINF_320039200,LINF_320041600,LINF_330010500,LINF_330013700,LINF_330027100,LINF_330032500,LINF_340005200,LINF_340013100,LINF_340032300,LINF_340039100,LINF_350014400,LINF_350014500,LINF_350020800,LINF_350023700,LINF_350023800,LINF_350023900,LINF_350024100,LINF_350024500,LINF_350027300,LINF_350027400,LINF_350027500,LINF_350029400,LINF_350041200,LINF_350045100,LINF_350045600,LINF_360015100,LINF_360015200,LINF_360046900,LINF_360047000,	4.2	1.24	1.68	0.00085684886712	0.0336363743695	0.297326556891
GO:0006518	peptide metabolic process	277	20	LINF_150009100,LINF_150009200,LINF_150019500,LINF_150019600,LINF_220009800,LINF_220010100,LINF_220017900,LINF_220018000,LINF_260021300,LINF_260021400,LINF_260021500,LINF_300011800,LINF_300011900,LINF_300012000,LINF_350023700,LINF_350023800,LINF_350023900,LINF_350024100,LINF_360015100,LINF_360015200,	7.2	2.11	2.36	0.00108405510937	0.0336363743695	0.376167122952
GO:0006882	cellular zinc ion homeostasis	2	2	LINF_280025700,LINF_280025800,	100.0	29.23	inf	0.00116321755745	0.0336363743695	0.403636492433
GO:0055069	zinc ion homeostasis	2	2	LINF_280025700,LINF_280025800,	100.0	29.23	inf	0.00116321755745	0.0336363743695	0.403636492433
GO:0006751	glutathione catabolic process	2	2	LINF_220017900,LINF_220018000,	100.0	29.23	inf	0.00116321755745	0.0336363743695	0.403636492433
