ID	Name	Bgd count	Result count	Result gene list	Pct of bgd	Fold enrichment	Odds ratio	P-value	Benjamini	Bonferroni
GO:0099513	polymeric cytoskeletal fiber	27	13	LINF_130007700,LINF_130007800,LINF_130007900,LINF_130008000,LINF_130008100,LINF_130008200,LINF_130008300,LINF_130008400,LINF_130008500,LINF_130008600,LINF_130008700,LINF_130008800,LINF_320022100,	48.1	4.19	7.29	2.32692316179e-06	0.000100639426747	0.000402557706989
GO:0099081	supramolecular polymer	27	13	LINF_130007700,LINF_130007800,LINF_130007900,LINF_130008000,LINF_130008100,LINF_130008200,LINF_130008300,LINF_130008400,LINF_130008500,LINF_130008600,LINF_130008700,LINF_130008800,LINF_320022100,	48.1	4.19	7.29	2.32692316179e-06	0.000100639426747	0.000402557706989
GO:0005874	microtubule	27	13	LINF_130007700,LINF_130007800,LINF_130007900,LINF_130008000,LINF_130008100,LINF_130008200,LINF_130008300,LINF_130008400,LINF_130008500,LINF_130008600,LINF_130008700,LINF_130008800,LINF_320022100,	48.1	4.19	7.29	2.32692316179e-06	0.000100639426747	0.000402557706989
GO:0099512	supramolecular fiber	27	13	LINF_130007700,LINF_130007800,LINF_130007900,LINF_130008000,LINF_130008100,LINF_130008200,LINF_130008300,LINF_130008400,LINF_130008500,LINF_130008600,LINF_130008700,LINF_130008800,LINF_320022100,	48.1	4.19	7.29	2.32692316179e-06	0.000100639426747	0.000402557706989
GO:0016021	integral component of membrane	252	49	LINF_020008000,LINF_030008500,LINF_030008650,LINF_030008700,LINF_060008400,LINF_100008900,LINF_110018150,LINF_110018200,LINF_110018300,LINF_110018350,LINF_110018400,LINF_110018700,LINF_130017100,LINF_130019000,LINF_140012800,LINF_140012900,LINF_140013000,LINF_150015400,LINF_160006800,LINF_180020600,LINF_180020700,LINF_180020800,LINF_190008900,LINF_240020050,LINF_260032800,LINF_290011200,LINF_290014600,LINF_290014800,LINF_290014900,LINF_310019500,LINF_310019600,LINF_310032200,LINF_330008300,LINF_330027100,LINF_340016200,LINF_340026700,LINF_340032300,LINF_340039100,LINF_360064700,LINF_360064900,LINF_360072800,LINF_360072900,LINF_360073000,LINF_360073100,LINF_360073200,LINF_360073300,LINF_360073400,LINF_360073500,LINF_360073600,	19.4	1.69	1.94	0.000109971314817	0.00380500749268	0.0190250374634
GO:0031224	intrinsic component of membrane	254	49	LINF_020008000,LINF_030008500,LINF_030008650,LINF_030008700,LINF_060008400,LINF_100008900,LINF_110018150,LINF_110018200,LINF_110018300,LINF_110018350,LINF_110018400,LINF_110018700,LINF_130017100,LINF_130019000,LINF_140012800,LINF_140012900,LINF_140013000,LINF_150015400,LINF_160006800,LINF_180020600,LINF_180020700,LINF_180020800,LINF_190008900,LINF_240020050,LINF_260032800,LINF_290011200,LINF_290014600,LINF_290014800,LINF_290014900,LINF_310019500,LINF_310019600,LINF_310032200,LINF_330008300,LINF_330027100,LINF_340016200,LINF_340026700,LINF_340032300,LINF_340039100,LINF_360064700,LINF_360064900,LINF_360072800,LINF_360072900,LINF_360073000,LINF_360073100,LINF_360073200,LINF_360073300,LINF_360073400,LINF_360073500,LINF_360073600,	19.3	1.68	1.92	0.0001349645365	0.00389147746908	0.0233488648145
GO:0099080	supramolecular complex	57	16	LINF_130007700,LINF_130007800,LINF_130007900,LINF_130008000,LINF_130008100,LINF_130008200,LINF_130008300,LINF_130008400,LINF_130008500,LINF_130008600,LINF_130008700,LINF_130008800,LINF_300009600,LINF_320014000,LINF_320022100,LINF_350055900,	28.1	2.44	3.06	0.000475386117221	0.0117488283256	0.0822417982793
GO:0005840	ribosome	186	35	LINF_010009200,LINF_010009300,LINF_130017200,LINF_130017300,LINF_150009100,LINF_150009200,LINF_150019500,LINF_150019600,LINF_210018200,LINF_210018300,LINF_220009800,LINF_220010100,LINF_240026900,LINF_240027000,LINF_260006600,LINF_260006700,LINF_260021300,LINF_260021400,LINF_260021500,LINF_260028800,LINF_260028900,LINF_280034700,LINF_280034800,LINF_300011800,LINF_300011900,LINF_300012000,LINF_330016500,LINF_340033900,LINF_350023700,LINF_350023800,LINF_350023900,LINF_350024100,LINF_360015100,LINF_360015200,LINF_360041100,	18.8	1.64	1.84	0.0019294134791	0.0417235664855	0.333788531884
GO:0051286	cell tip	36	10	LINF_090009900,LINF_090010000,LINF_180019900,LINF_290031500,LINF_300012300,LINF_350027400,LINF_350027500,LINF_360072800,LINF_360073200,LINF_360073600,	27.8	2.42	3.0	0.00587784298018	0.112985203952	1.0
GO:0060187	cell pole	37	10	LINF_090009900,LINF_090010000,LINF_180019900,LINF_290031500,LINF_300012300,LINF_350027400,LINF_350027500,LINF_360072800,LINF_360073200,LINF_360073600,	27.0	2.35	2.88	0.00724783198187	0.119364855118	1.0
