ID	Name	Bgd count	Result count	Result gene list	Pct of bgd	Fold enrichment	Odds ratio	P-value	Benjamini	Bonferroni
GO:0005840	ribosome	186	18	LINF_150009100,LINF_150009200,LINF_150019500,LINF_150019600,LINF_220009800,LINF_220010100,LINF_260021300,LINF_260021400,LINF_260021500,LINF_300011800,LINF_300011900,LINF_300012000,LINF_350023700,LINF_350023800,LINF_350023900,LINF_350024100,LINF_360015100,LINF_360015200,	9.7	2.83	3.27	5.291753589e-05	0.00523883605311	0.00523883605311
GO:0016021	integral component of membrane	252	18	LINF_060008400,LINF_110018150,LINF_110018200,LINF_110018300,LINF_110018350,LINF_110018400,LINF_110018700,LINF_140012900,LINF_140013000,LINF_240020050,LINF_290014600,LINF_290014800,LINF_290014900,LINF_310019500,LINF_310019600,LINF_330027100,LINF_340032300,LINF_340039100,	7.1	2.09	2.31	0.00218714962688	0.0787755082123	0.216527813061
GO:0031224	intrinsic component of membrane	254	18	LINF_060008400,LINF_110018150,LINF_110018200,LINF_110018300,LINF_110018350,LINF_110018400,LINF_110018700,LINF_140012900,LINF_140013000,LINF_240020050,LINF_290014600,LINF_290014800,LINF_290014900,LINF_310019500,LINF_310019600,LINF_330027100,LINF_340032300,LINF_340039100,	7.1	2.07	2.29	0.0023871366125	0.0787755082123	0.236326524637
GO:0016020	membrane	549	29	LINF_020006700,LINF_020006800,LINF_020006900,LINF_020007000,LINF_020007100,LINF_060008400,LINF_110018150,LINF_110018200,LINF_110018300,LINF_110018350,LINF_110018400,LINF_110018700,LINF_140012900,LINF_140013000,LINF_220005000,LINF_240020050,LINF_280025700,LINF_280025800,LINF_290014600,LINF_290014800,LINF_290014900,LINF_300016000,LINF_310019500,LINF_310019600,LINF_330013700,LINF_330027100,LINF_340032300,LINF_340039100,LINF_350041200,	5.3	1.54	1.7	0.010545075192	0.260990611003	1.0
GO:0022625	cytosolic large ribosomal subunit	8	2	LINF_150019500,LINF_150019600,	25.0	7.31	9.51	0.0284335035999	0.376262105911	1.0
GO:0022626	cytosolic ribosome	8	2	LINF_150019500,LINF_150019600,	25.0	7.31	9.51	0.0284335035999	0.376262105911	1.0
GO:0031080	nuclear pore outer ring	8	2	LINF_270008900,LINF_320034900,	25.0	7.31	9.51	0.0284335035999	0.376262105911	1.0
GO:0034457	Mpp10 complex	1	1	LINF_290012600,	100.0	29.23	inf	0.0342056459919	0.376262105911	1.0
GO:0097537	Y-shaped link	1	1	LINF_180010300,	100.0	29.23	inf	0.0342056459919	0.376262105911	1.0
GO:0035869	ciliary transition zone	23	3	LINF_180010300,LINF_330019900,LINF_330020000,	13.0	3.81	4.29	0.0421326579824	0.417113314026	1.0
