ID	Name	Bgd count	Result count	Result gene list	Pct of bgd	Fold enrichment	Odds ratio	P-value	Benjamini	Bonferroni
GO:0099513	polymeric cytoskeletal fiber	27	12	LINF_130007700,LINF_130007800,LINF_130007900,LINF_130008000,LINF_130008100,LINF_130008200,LINF_130008300,LINF_130008400,LINF_130008500,LINF_130008600,LINF_130008700,LINF_130008800,	44.4	19.43	38.2	1.46539514826e-13	2.56444150945e-12	1.02577660378e-11
GO:0099081	supramolecular polymer	27	12	LINF_130007700,LINF_130007800,LINF_130007900,LINF_130008000,LINF_130008100,LINF_130008200,LINF_130008300,LINF_130008400,LINF_130008500,LINF_130008600,LINF_130008700,LINF_130008800,	44.4	19.43	38.2	1.46539514826e-13	2.56444150945e-12	1.02577660378e-11
GO:0005874	microtubule	27	12	LINF_130007700,LINF_130007800,LINF_130007900,LINF_130008000,LINF_130008100,LINF_130008200,LINF_130008300,LINF_130008400,LINF_130008500,LINF_130008600,LINF_130008700,LINF_130008800,	44.4	19.43	38.2	1.46539514826e-13	2.56444150945e-12	1.02577660378e-11
GO:0099512	supramolecular fiber	27	12	LINF_130007700,LINF_130007800,LINF_130007900,LINF_130008000,LINF_130008100,LINF_130008200,LINF_130008300,LINF_130008400,LINF_130008500,LINF_130008600,LINF_130008700,LINF_130008800,	44.4	19.43	38.2	1.46539514826e-13	2.56444150945e-12	1.02577660378e-11
GO:0099080	supramolecular complex	57	12	LINF_130007700,LINF_130007800,LINF_130007900,LINF_130008000,LINF_130008100,LINF_130008200,LINF_130008300,LINF_130008400,LINF_130008500,LINF_130008600,LINF_130008700,LINF_130008800,	21.1	9.2	12.65	3.36180906085e-09	4.70653268518e-08	2.35326634259e-07
GO:0015630	microtubule cytoskeleton	176	14	LINF_130007700,LINF_130007800,LINF_130007900,LINF_130008000,LINF_130008100,LINF_130008200,LINF_130008300,LINF_130008400,LINF_130008500,LINF_130008600,LINF_130008700,LINF_130008800,LINF_350027400,LINF_350027500,	8.0	3.48	4.08	3.9287253915e-05	0.000458351295675	0.00275010777405
GO:0051286	cell tip	36	6	LINF_300012300,LINF_350027400,LINF_350027500,LINF_360072800,LINF_360073200,LINF_360073600,	16.7	7.29	8.98	0.000139221656489	0.0012282503245	0.00974551595421
GO:0060187	cell pole	37	6	LINF_300012300,LINF_350027400,LINF_350027500,LINF_360072800,LINF_360073200,LINF_360073600,	16.2	7.09	8.68	0.000163104539096	0.0012282503245	0.0114173177367
GO:0016021	integral component of membrane	252	16	LINF_020008000,LINF_100008900,LINF_110018150,LINF_110018350,LINF_110018700,LINF_330027100,LINF_340039100,LINF_360072800,LINF_360072900,LINF_360073000,LINF_360073100,LINF_360073200,LINF_360073300,LINF_360073400,LINF_360073500,LINF_360073600,	6.3	2.78	3.22	0.000165363961664	0.0012282503245	0.0115754773165
GO:0031224	intrinsic component of membrane	254	16	LINF_020008000,LINF_100008900,LINF_110018150,LINF_110018350,LINF_110018700,LINF_330027100,LINF_340039100,LINF_360072800,LINF_360072900,LINF_360073000,LINF_360073100,LINF_360073200,LINF_360073300,LINF_360073400,LINF_360073500,LINF_360073600,	6.3	2.75	3.19	0.000181318866123	0.0012282503245	0.0126923206286
GO:0016020	membrane	549	26	LINF_020006700,LINF_020006800,LINF_020006900,LINF_020007000,LINF_020007100,LINF_020008000,LINF_100008900,LINF_110018150,LINF_110018350,LINF_110018700,LINF_280025700,LINF_280025800,LINF_310039500,LINF_310039600,LINF_330027100,LINF_340039100,LINF_350041200,LINF_360072800,LINF_360072900,LINF_360073000,LINF_360073100,LINF_360073200,LINF_360073300,LINF_360073400,LINF_360073500,LINF_360073600,	4.7	2.07	2.47	0.000193010765279	0.0012282503245	0.0135107535695
GO:0070258	inner membrane pellicle complex	2	2	LINF_360072800,LINF_360073200,	100.0	43.72	inf	0.000518542766572	0.003024832805	0.03629799366
GO:0005886	plasma membrane	51	6	LINF_100008900,LINF_280025700,LINF_280025800,LINF_360072800,LINF_360073200,LINF_360073600,	11.8	5.14	5.96	0.000974298114907	0.00524622061873	0.0682008680435
GO:0020039	pellicle	3	2	LINF_360072800,LINF_360073200,	66.7	29.15	86.99	0.00153232540893	0.00766162704466	0.107262778625
GO:0071944	cell periphery	71	6	LINF_100008900,LINF_280025700,LINF_280025800,LINF_360072800,LINF_360073200,LINF_360073600,	8.5	3.69	4.11	0.00535494889456	0.0249897615079	0.374846422619
GO:0005856	cytoskeleton	351	15	LINF_100007000,LINF_130007700,LINF_130007800,LINF_130007900,LINF_130008000,LINF_130008100,LINF_130008200,LINF_130008300,LINF_130008400,LINF_130008500,LINF_130008600,LINF_130008700,LINF_130008800,LINF_350027400,LINF_350027500,	4.3	1.87	2.05	0.013086685889	0.0572542507646	0.916068012233
GO:0005840	ribosome	186	9	LINF_210018200,LINF_210018300,LINF_300011800,LINF_300011900,LINF_300012000,LINF_340033900,LINF_360015100,LINF_360015200,LINF_360041100,	4.8	2.12	2.28	0.0256815359958	0.105747501159	1.0
