ID	Name	Bgd count	Result count	Result gene list	Pct of bgd	Fold enrichment	Odds ratio	P-value	Benjamini	Bonferroni
GO:0005215	transporter activity	213	50	LINF_020008000,LINF_100008900,LINF_110012200,LINF_110018150,LINF_110018200,LINF_110018300,LINF_110018350,LINF_110018400,LINF_110018700,LINF_130017100,LINF_150015400,LINF_180020600,LINF_180020700,LINF_180020800,LINF_210027500,LINF_230008700,LINF_240020050,LINF_280006400,LINF_280025700,LINF_280025800,LINF_290011200,LINF_290014600,LINF_290014900,LINF_290021500,LINF_290021600,LINF_290021700,LINF_310012900,LINF_310019500,LINF_310019600,LINF_310032200,LINF_310039500,LINF_310039600,LINF_310040800,LINF_330008300,LINF_330027100,LINF_340016200,LINF_340032300,LINF_340037800,LINF_340039100,LINF_350041200,LINF_350042100,LINF_360072800,LINF_360072900,LINF_360073000,LINF_360073100,LINF_360073200,LINF_360073300,LINF_360073400,LINF_360073500,LINF_360073600,	23.5	2.04	2.5	3.39351901809e-07	0.000106558490977	0.000137437520233
GO:0005200	structural constituent of cytoskeleton	21	12	LINF_130007700,LINF_130007800,LINF_130007900,LINF_130008000,LINF_130008100,LINF_130008200,LINF_130008300,LINF_130008400,LINF_130008500,LINF_130008600,LINF_130008700,LINF_130008800,	57.1	4.97	10.47	5.26214770255e-07	0.000106558490977	0.000213116981953
GO:0022857	transmembrane transporter activity	207	48	LINF_020008000,LINF_100008900,LINF_110012200,LINF_110018150,LINF_110018200,LINF_110018300,LINF_110018350,LINF_110018400,LINF_110018700,LINF_130017100,LINF_150015400,LINF_180020600,LINF_180020700,LINF_180020800,LINF_210027500,LINF_230008700,LINF_240020050,LINF_280006400,LINF_280025700,LINF_280025800,LINF_290011200,LINF_290014600,LINF_290014900,LINF_290021500,LINF_290021600,LINF_290021700,LINF_310012900,LINF_310019500,LINF_310019600,LINF_310032200,LINF_310039500,LINF_310039600,LINF_310040800,LINF_330008300,LINF_330027100,LINF_340016200,LINF_340037800,LINF_350041200,LINF_350042100,LINF_360072800,LINF_360072900,LINF_360073000,LINF_360073100,LINF_360073200,LINF_360073300,LINF_360073400,LINF_360073500,LINF_360073600,	23.2	2.02	2.45	8.68722754069e-07	0.000117277571799	0.000351832715398
GO:0005198	structural molecule activity	223	47	LINF_010009200,LINF_010009300,LINF_100017100,LINF_130007700,LINF_130007800,LINF_130007900,LINF_130008000,LINF_130008100,LINF_130008200,LINF_130008300,LINF_130008400,LINF_130008500,LINF_130008600,LINF_130008700,LINF_130008800,LINF_130017200,LINF_130017300,LINF_150009100,LINF_150009200,LINF_150019500,LINF_150019600,LINF_210018200,LINF_210018300,LINF_220009800,LINF_220010100,LINF_240026900,LINF_240027000,LINF_260006600,LINF_260006700,LINF_260021300,LINF_260021400,LINF_260021500,LINF_260028800,LINF_260028900,LINF_270008900,LINF_300011800,LINF_300011900,LINF_300012000,LINF_330016500,LINF_340033900,LINF_350023700,LINF_350023800,LINF_350023900,LINF_350024100,LINF_360015100,LINF_360015200,LINF_360041100,	21.1	1.83	2.15	1.83088700875e-05	0.00185377309636	0.00741509238545
GO:0042626	ATPase-coupled transmembrane transporter activity	56	18	LINF_020008000,LINF_110018150,LINF_110018200,LINF_110018300,LINF_110018350,LINF_110018400,LINF_110018700,LINF_150015400,LINF_180020600,LINF_180020700,LINF_180020800,LINF_230008700,LINF_240020050,LINF_290011200,LINF_310019500,LINF_310019600,LINF_330027100,LINF_340016200,	32.1	2.8	3.73	2.96953541357e-05	0.00230115825932	0.012026618425
GO:0004197	cysteine-type endopeptidase activity	42	15	LINF_080014800,LINF_080014900,LINF_080015100,LINF_080015200,LINF_080015300,LINF_080015400,LINF_080015500,LINF_200017200,LINF_250021300,LINF_270010000,LINF_270010100,LINF_270010200,LINF_270011100,LINF_310009900,LINF_350020800,	35.7	3.11	4.37	3.40912334714e-05	0.00230115825932	0.0138069495559
GO:0015399	primary active transmembrane transporter activity	68	19	LINF_020008000,LINF_110018150,LINF_110018200,LINF_110018300,LINF_110018350,LINF_110018400,LINF_110018700,LINF_150015400,LINF_180020600,LINF_180020700,LINF_180020800,LINF_230008700,LINF_240020050,LINF_290011200,LINF_310019500,LINF_310019600,LINF_330027100,LINF_340016200,LINF_350042100,	27.9	2.43	3.05	0.0001531016864	0.00885802614169	0.0620061829918
GO:0008234	cysteine-type peptidase activity	69	19	LINF_080014700,LINF_080014800,LINF_080014900,LINF_080015000,LINF_080015100,LINF_080015200,LINF_080015300,LINF_080015400,LINF_080015500,LINF_200017200,LINF_250021300,LINF_270010000,LINF_270010100,LINF_270010200,LINF_270011100,LINF_310009900,LINF_320018200,LINF_350020800,LINF_350029400,	27.5	2.39	2.99	0.000189121893256	0.00957429584608	0.0765943667686
GO:0003674	molecular function	3519	438	LINF_010005300,LINF_010009200,LINF_010009300,LINF_010011200,LINF_020006000,LINF_020006200,LINF_020007600,LINF_020008000,LINF_020008100,LINF_020008900,LINF_030012400,LINF_030014900,LINF_040006300,LINF_040007600,LINF_040008500,LINF_040010000,LINF_040017100,LINF_050009600,LINF_050012800,LINF_050015100,LINF_060006300,LINF_060008200,LINF_060018500,LINF_070006900,LINF_070007100,LINF_070009100,LINF_070009800,LINF_070013200,LINF_070013900,LINF_070015200,LINF_070015700,LINF_080013400,LINF_080013800,LINF_080014700,LINF_080014800,LINF_080014900,LINF_080015000,LINF_080015100,LINF_080015200,LINF_080015300,LINF_080015400,LINF_080015500,LINF_080017100,LINF_090005600,LINF_090005700,LINF_090005900,LINF_090006000,LINF_090006400,LINF_090006500,LINF_090009900,LINF_090010000,LINF_090010100,LINF_090011800,LINF_090011900,LINF_090019700,LINF_090019800,LINF_100007900,LINF_100008900,LINF_100013200,LINF_100015600,LINF_100017100,LINF_100019000,LINF_110007500,LINF_110010800,LINF_110011900,LINF_110012000,LINF_110012200,LINF_110012700,LINF_110016000,LINF_110018150,LINF_110018200,LINF_110018300,LINF_110018350,LINF_110018400,LINF_110018700,LINF_120015500,LINF_120016900,LINF_130007700,LINF_130007800,LINF_130007900,LINF_130008000,LINF_130008100,LINF_130008200,LINF_130008300,LINF_130008400,LINF_130008500,LINF_130008600,LINF_130008700,LINF_130008800,LINF_130012000,LINF_130017100,LINF_130017200,LINF_130017300,LINF_130020500,LINF_130021100,LINF_130021200,LINF_140005600,LINF_140010000,LINF_140010100,LINF_140012800,LINF_140012900,LINF_140013000,LINF_140015200,LINF_140017400,LINF_140017500,LINF_150008100,LINF_150008200,LINF_150008400,LINF_150008600,LINF_150009100,LINF_150009200,LINF_150012400,LINF_150015400,LINF_150015500,LINF_150017800,LINF_150019500,LINF_150019600,LINF_160008000,LINF_160011100,LINF_160012200,LINF_160014700,LINF_160014800,LINF_160016900,LINF_170009900,LINF_170011100,LINF_170011200,LINF_170018300,LINF_170020800,LINF_180006700,LINF_180006800,LINF_180007900,LINF_180010300,LINF_180010800,LINF_180011700,LINF_180012600,LINF_180017600,LINF_180017700,LINF_180018700,LINF_180018900,LINF_180019600,LINF_180019900,LINF_180020600,LINF_180020700,LINF_180020800,LINF_190009100,LINF_190010800,LINF_190018400,LINF_190019800,LINF_190021000,LINF_200010300,LINF_200017200,LINF_200018500,LINF_200018600,LINF_200022000,LINF_200022100,LINF_200022200,LINF_210014200,LINF_210014900,LINF_210018200,LINF_210018300,LINF_210027500,LINF_220008400,LINF_220009800,LINF_220010100,LINF_220010400,LINF_220013300,LINF_220013400,LINF_220017900,LINF_220018000,LINF_220018200,LINF_220021500,LINF_220021600,LINF_230007900,LINF_230008300,LINF_230008700,LINF_230012700,LINF_230014600,LINF_230014700,LINF_230017200,LINF_230019300,LINF_230019700,LINF_230019800,LINF_230019900,LINF_230020900,LINF_240007400,LINF_240009400,LINF_240014100,LINF_240019200,LINF_240019300,LINF_240020050,LINF_240021200,LINF_240021300,LINF_240023800,LINF_240026900,LINF_240027000,LINF_240027100,LINF_240027300,LINF_240027800,LINF_240028200,LINF_250012200,LINF_250013300,LINF_250014900,LINF_250017200,LINF_250018300,LINF_250020400,LINF_250021300,LINF_250026500,LINF_250027000,LINF_260006600,LINF_260006700,LINF_260007400,LINF_260008000,LINF_260011600,LINF_260013000,LINF_260013100,LINF_260020900,LINF_260021100,LINF_260021300,LINF_260021400,LINF_260021500,LINF_260028800,LINF_260028900,LINF_260029800,LINF_260032800,LINF_270005000,LINF_270008900,LINF_270010000,LINF_270010100,LINF_270010200,LINF_270011100,LINF_270017500,LINF_270023200,LINF_270023900,LINF_270024000,LINF_270027400,LINF_280005300,LINF_280006400,LINF_280007900,LINF_280009200,LINF_280013100,LINF_280019900,LINF_280020100,LINF_280020200,LINF_280025700,LINF_280025800,LINF_280034700,LINF_280034800,LINF_290007800,LINF_290008300,LINF_290011200,LINF_290013900,LINF_290014000,LINF_290014600,LINF_290014800,LINF_290014900,LINF_290015000,LINF_290016900,LINF_290019300,LINF_290019800,LINF_290020000,LINF_290020300,LINF_290020900,LINF_290021300,LINF_290021500,LINF_290021600,LINF_290021700,LINF_290023600,LINF_290028900,LINF_290029000,LINF_290030400,LINF_290030500,LINF_290031500,LINF_290032100,LINF_290032800,LINF_300009600,LINF_300011800,LINF_300011900,LINF_300012000,LINF_300012300,LINF_300012600,LINF_300017500,LINF_300019600,LINF_300020100,LINF_300020200,LINF_300026200,LINF_300027300,LINF_300027400,LINF_300029600,LINF_300034800,LINF_300035000,LINF_300035100,LINF_300035200,LINF_300036800,LINF_300039400,LINF_300040500,LINF_300041300,LINF_300042100,LINF_310005700,LINF_310009900,LINF_310012900,LINF_310016000,LINF_310016400,LINF_310016700,LINF_310017600,LINF_310017700,LINF_310018600,LINF_310019500,LINF_310019600,LINF_310019900,LINF_310020000,LINF_310020100,LINF_310023300,LINF_310023600,LINF_310023700,LINF_310023800,LINF_310027000,LINF_310027100,LINF_310028900,LINF_310031200,LINF_310031300,LINF_310032200,LINF_310039500,LINF_310039600,LINF_310040800,LINF_320013900,LINF_320014000,LINF_320018200,LINF_320018600,LINF_320021100,LINF_320021200,LINF_320023200,LINF_320028600,LINF_320030800,LINF_320035000,LINF_320042500,LINF_320043700,LINF_320043800,LINF_320043900,LINF_330008300,LINF_330010500,LINF_330011700,LINF_330013300,LINF_330013700,LINF_330016500,LINF_330019100,LINF_330019700,LINF_330019900,LINF_330020000,LINF_330022900,LINF_330027100,LINF_330027300,LINF_330028600,LINF_340005200,LINF_340011700,LINF_340016200,LINF_340021100,LINF_340021200,LINF_340021300,LINF_340026700,LINF_340032300,LINF_340033900,LINF_340035800,LINF_340037800,LINF_340039100,LINF_340040300,LINF_340047000,LINF_350008000,LINF_350013300,LINF_350014400,LINF_350014500,LINF_350014900,LINF_350015100,LINF_350016600,LINF_350016700,LINF_350018900,LINF_350020800,LINF_350023700,LINF_350023800,LINF_350023900,LINF_350024100,LINF_350025400,LINF_350026800,LINF_350027200,LINF_350028500,LINF_350029400,LINF_350030400,LINF_350030800,LINF_350032000,LINF_350032700,LINF_350041200,LINF_350042100,LINF_350045100,LINF_350045600,LINF_350049700,LINF_350050300,LINF_350055000,LINF_350055600,LINF_350055900,LINF_350057500,LINF_350057600,LINF_350057900,LINF_360011300,LINF_360012800,LINF_360013000,LINF_360015100,LINF_360015200,LINF_360018400,LINF_360021400,LINF_360021500,LINF_360022400,LINF_360022500,LINF_360027100,LINF_360027200,LINF_360030000,LINF_360030300,LINF_360030600,LINF_360031200,LINF_360031300,LINF_360033900,LINF_360037500,LINF_360038900,LINF_360041100,LINF_360046900,LINF_360047000,LINF_360054700,LINF_360054800,LINF_360063600,LINF_360070200,LINF_360072800,LINF_360072900,LINF_360073000,LINF_360073100,LINF_360073200,LINF_360073300,LINF_360073400,LINF_360073500,LINF_360073600,LINF_360077100,	12.4	1.08	1.44	0.00036110195823	0.0162495881204	0.146246293083
GO:0022804	active transmembrane transporter activity	87	21	LINF_020008000,LINF_110018150,LINF_110018200,LINF_110018300,LINF_110018350,LINF_110018400,LINF_110018700,LINF_150015400,LINF_180020600,LINF_180020700,LINF_180020800,LINF_230008700,LINF_240020050,LINF_290011200,LINF_290014900,LINF_310019500,LINF_310019600,LINF_330027100,LINF_340016200,LINF_350041200,LINF_350042100,	24.1	2.1	2.51	0.000637692216766	0.025826534779	0.25826534779
