ID	Name	Bgd count	Result count	Result gene list	Pct of bgd	Fold enrichment	Odds ratio	P-value	Benjamini	Bonferroni
GO:0008234	cysteine-type peptidase activity	69	9	LINF_080014700,LINF_080014800,LINF_080014900,LINF_080015000,LINF_080015100,LINF_080015200,LINF_080015300,LINF_080015400,LINF_080015500,	13.0	10.91	14.49	8.52320223243e-08	6.39240167432e-06	6.39240167432e-06
GO:0004197	cysteine-type endopeptidase activity	42	7	LINF_080014800,LINF_080014900,LINF_080015100,LINF_080015200,LINF_080015300,LINF_080015400,LINF_080015500,	16.7	13.95	18.67	4.68435730013e-07	1.35066383681e-05	3.5132679751e-05
GO:0015149	hexose transmembrane transporter activity	3	3	LINF_360072800,LINF_360073200,LINF_360073600,	100.0	83.67	inf	1.62079660417e-06	1.35066383681e-05	0.000121559745313
GO:0005353	fructose transmembrane transporter activity	3	3	LINF_360072800,LINF_360073200,LINF_360073600,	100.0	83.67	inf	1.62079660417e-06	1.35066383681e-05	0.000121559745313
GO:0005354	galactose transmembrane transporter activity	3	3	LINF_360072800,LINF_360073200,LINF_360073600,	100.0	83.67	inf	1.62079660417e-06	1.35066383681e-05	0.000121559745313
GO:0005355	glucose transmembrane transporter activity	3	3	LINF_360072800,LINF_360073200,LINF_360073600,	100.0	83.67	inf	1.62079660417e-06	1.35066383681e-05	0.000121559745313
GO:0051119	sugar transmembrane transporter activity	3	3	LINF_360072800,LINF_360073200,LINF_360073600,	100.0	83.67	inf	1.62079660417e-06	1.35066383681e-05	0.000121559745313
GO:0015578	mannose transmembrane transporter activity	3	3	LINF_360072800,LINF_360073200,LINF_360073600,	100.0	83.67	inf	1.62079660417e-06	1.35066383681e-05	0.000121559745313
GO:0015145	monosaccharide transmembrane transporter activity	3	3	LINF_360072800,LINF_360073200,LINF_360073600,	100.0	83.67	inf	1.62079660417e-06	1.35066383681e-05	0.000121559745313
GO:0022857	transmembrane transporter activity	207	12	LINF_290021500,LINF_290021600,LINF_290021700,LINF_360072800,LINF_360072900,LINF_360073000,LINF_360073100,LINF_360073200,LINF_360073300,LINF_360073400,LINF_360073500,LINF_360073600,	5.8	4.85	6.15	4.15556559219e-06	3.11667419414e-05	0.000311667419414
GO:0005215	transporter activity	213	12	LINF_290021500,LINF_290021600,LINF_290021700,LINF_360072800,LINF_360072900,LINF_360073000,LINF_360073100,LINF_360073200,LINF_360073300,LINF_360073400,LINF_360073500,LINF_360073600,	5.6	4.71	5.96	5.5979039968e-06	3.81675272509e-05	0.00041984279976
GO:0015144	carbohydrate transmembrane transporter activity	4	3	LINF_360072800,LINF_360073200,LINF_360073600,	75.0	62.75	261.49	6.4280459137e-06	4.01752869606e-05	0.000482103443527
GO:0008233	peptidase activity	154	9	LINF_080014700,LINF_080014800,LINF_080014900,LINF_080015000,LINF_080015100,LINF_080015200,LINF_080015300,LINF_080015400,LINF_080015500,	5.8	4.89	5.89	7.26336922722e-05	0.00041904053234	0.00544752692041
GO:0004175	endopeptidase activity	94	7	LINF_080014800,LINF_080014900,LINF_080015100,LINF_080015200,LINF_080015300,LINF_080015400,LINF_080015500,	7.4	6.23	7.43	0.000109778185029	0.000588097419799	0.00823336387718
GO:0015591	D-ribose transmembrane transporter activity	2	2	LINF_360072800,LINF_360073200,	100.0	83.67	inf	0.000140401505838	0.000619418408108	0.0105301129378
GO:0055056	D-glucose transmembrane transporter activity	2	2	LINF_360072800,LINF_360073200,	100.0	83.67	inf	0.000140401505838	0.000619418408108	0.0105301129378
GO:0015146	pentose transmembrane transporter activity	2	2	LINF_360072800,LINF_360073200,	100.0	83.67	inf	0.000140401505838	0.000619418408108	0.0105301129378
GO:0051287	NAD binding	21	3	LINF_340021100,LINF_340021200,LINF_340021300,	14.3	11.95	14.48	0.00184946121445	0.00770608839354	0.138709591084
GO:0140096	catalytic activity, acting on a protein	506	14	LINF_080014700,LINF_080014800,LINF_080014900,LINF_080015000,LINF_080015100,LINF_080015200,LINF_080015300,LINF_080015400,LINF_080015500,LINF_090009900,LINF_090010000,LINF_170011200,LINF_200018500,LINF_200018600,	2.8	2.32	2.78	0.0019961791463	0.00787965452487	0.149713435972
GO:0140033	acetylation-dependent protein binding	1	1	LINF_070015700,	100.0	83.67	inf	0.0119513702863	0.0331982507952	0.89635277147
GO:0008892	guanine deaminase activity	1	1	LINF_290014000,	100.0	83.67	inf	0.0119513702863	0.0331982507952	0.89635277147
GO:0016504	peptidase activator activity	1	1	LINF_070015700,	100.0	83.67	inf	0.0119513702863	0.0331982507952	0.89635277147
GO:0008254	3'-nucleotidase activity	1	1	LINF_310031300,	100.0	83.67	inf	0.0119513702863	0.0331982507952	0.89635277147
GO:0008252	nucleotidase activity	1	1	LINF_310031300,	100.0	83.67	inf	0.0119513702863	0.0331982507952	0.89635277147
GO:0070577	lysine-acetylated histone binding	1	1	LINF_070015700,	100.0	83.67	inf	0.0119513702863	0.0331982507952	0.89635277147
GO:0070628	proteasome binding	1	1	LINF_070015700,	100.0	83.67	inf	0.0119513702863	0.0331982507952	0.89635277147
GO:0140030	modification-dependent protein binding	1	1	LINF_070015700,	100.0	83.67	inf	0.0119513702863	0.0331982507952	0.89635277147
GO:0016787	hydrolase activity	633	14	LINF_080014700,LINF_080014800,LINF_080014900,LINF_080015000,LINF_080015100,LINF_080015200,LINF_080015300,LINF_080015400,LINF_080015500,LINF_130020500,LINF_130021200,LINF_290014000,LINF_310031200,LINF_310031300,	2.2	1.85	2.15	0.0147758952412	0.0395782908246	1.0
GO:0042393	histone binding	3	1	LINF_070015700,	33.3	27.89	42.04	0.0354345271384	0.0916410184613	1.0
GO:0061134	peptidase regulator activity	4	1	LINF_070015700,	25.0	20.92	28.02	0.0469695369167	0.117423842292	1.0
