ID	Name	Bgd count	Result count	Result gene list	Pct of bgd	Fold enrichment	Odds ratio	P-value	Benjamini	Bonferroni
GO:0005200	structural constituent of cytoskeleton	21	12	LINF_130007700,LINF_130007800,LINF_130007900,LINF_130008000,LINF_130008100,LINF_130008200,LINF_130008300,LINF_130008400,LINF_130008500,LINF_130008600,LINF_130008700,LINF_130008800,	57.1	24.98	63.74	2.77814999002e-15	3.80606548633e-13	3.80606548633e-13
GO:0005215	transporter activity	213	22	LINF_020008000,LINF_100008900,LINF_110018150,LINF_110018350,LINF_110018700,LINF_280006400,LINF_280025700,LINF_280025800,LINF_310039500,LINF_310039600,LINF_330027100,LINF_340039100,LINF_350041200,LINF_360072800,LINF_360072900,LINF_360073000,LINF_360073100,LINF_360073200,LINF_360073300,LINF_360073400,LINF_360073500,LINF_360073600,	10.3	4.52	5.89	1.39664718575e-09	9.56703322242e-08	1.91340664448e-07
GO:0008234	cysteine-type peptidase activity	69	13	LINF_080014700,LINF_080014800,LINF_080014900,LINF_080015000,LINF_080015100,LINF_080015200,LINF_080015300,LINF_080015400,LINF_080015500,LINF_250021300,LINF_270010000,LINF_270011100,LINF_350029400,	18.8	8.24	11.1	3.05573889764e-09	1.39545409659e-07	4.18636228977e-07
GO:0022857	transmembrane transporter activity	207	21	LINF_020008000,LINF_100008900,LINF_110018150,LINF_110018350,LINF_110018700,LINF_280006400,LINF_280025700,LINF_280025800,LINF_310039500,LINF_310039600,LINF_330027100,LINF_350041200,LINF_360072800,LINF_360072900,LINF_360073000,LINF_360073100,LINF_360073200,LINF_360073300,LINF_360073400,LINF_360073500,LINF_360073600,	10.1	4.44	5.72	4.86970869718e-09	1.66787522879e-07	6.67150091514e-07
GO:0005198	structural molecule activity	223	21	LINF_130007700,LINF_130007800,LINF_130007900,LINF_130008000,LINF_130008100,LINF_130008200,LINF_130008300,LINF_130008400,LINF_130008500,LINF_130008600,LINF_130008700,LINF_130008800,LINF_210018200,LINF_210018300,LINF_300011800,LINF_300011900,LINF_300012000,LINF_340033900,LINF_360015100,LINF_360015200,LINF_360041100,	9.4	4.12	5.24	1.86997125607e-08	4.74298221296e-07	2.56186062082e-06
GO:0004197	cysteine-type endopeptidase activity	42	10	LINF_080014800,LINF_080014900,LINF_080015100,LINF_080015200,LINF_080015300,LINF_080015400,LINF_080015500,LINF_250021300,LINF_270010000,LINF_270011100,	23.8	10.41	14.57	2.07721848743e-08	4.74298221296e-07	2.84578932778e-06
GO:0016787	hydrolase activity	633	35	LINF_080014700,LINF_080014800,LINF_080014900,LINF_080015000,LINF_080015100,LINF_080015200,LINF_080015300,LINF_080015400,LINF_080015500,LINF_090011900,LINF_110018150,LINF_110018350,LINF_110018700,LINF_130007700,LINF_130007800,LINF_130007900,LINF_130008000,LINF_130008100,LINF_130008200,LINF_130008300,LINF_130008400,LINF_130008500,LINF_130008600,LINF_130008700,LINF_130008800,LINF_230017200,LINF_250021300,LINF_270010000,LINF_270011100,LINF_300034800,LINF_310019900,LINF_320021100,LINF_330027100,LINF_350029400,LINF_360077100,	5.5	2.42	3.19	2.37929144341e-07	4.65661325353e-06	3.25962927747e-05
GO:0003924	GTPase activity	92	12	LINF_130007700,LINF_130007800,LINF_130007900,LINF_130008000,LINF_130008100,LINF_130008200,LINF_130008300,LINF_130008400,LINF_130008500,LINF_130008600,LINF_130008700,LINF_130008800,	13.0	5.7	7.06	8.8267223565e-07	1.51157620355e-05	0.000120926096284
GO:0017111	nucleoside-triphosphatase activity	192	16	LINF_110018150,LINF_110018350,LINF_110018700,LINF_130007700,LINF_130007800,LINF_130007900,LINF_130008000,LINF_130008100,LINF_130008200,LINF_130008300,LINF_130008400,LINF_130008500,LINF_130008600,LINF_130008700,LINF_130008800,LINF_330027100,	8.3	3.64	4.37	5.73443389725e-06	8.72908271025e-05	0.000785617443923
GO:0008233	peptidase activity	154	14	LINF_080014700,LINF_080014800,LINF_080014900,LINF_080015000,LINF_080015100,LINF_080015200,LINF_080015300,LINF_080015400,LINF_080015500,LINF_090011900,LINF_250021300,LINF_270010000,LINF_270011100,LINF_350029400,	9.1	3.97	4.74	8.53734506119e-06	8.86804454196e-05	0.00116961627338
