ID	Name	Bgd count	Result count	Result gene list	Pct of bgd	Fold enrichment	Odds ratio	P-value	Benjamini	Bonferroni
GO:0016790	thiolester hydrolase activity	6	4	LINF_290023600,LINF_320043700,LINF_320043800,LINF_320043900,	66.7	13.77	39.97	7.44715214423e-05	0.013292162222	0.0176497505818
GO:0008553	P-type proton-exporting transporter activity	3	3	LINF_180020600,LINF_180020700,LINF_180020800,	100.0	20.65	inf	0.000112170145334	0.013292162222	0.026584324444
GO:0016773	phosphotransferase activity, alcohol group as acceptor	257	26	LINF_020006200,LINF_070015200,LINF_080013800,LINF_110016000,LINF_150015500,LINF_180007900,LINF_180011700,LINF_190010800,LINF_190018400,LINF_220010400,LINF_250012200,LINF_290020900,LINF_300040500,LINF_320018600,LINF_330028600,LINF_340026700,LINF_350028500,LINF_350032700,LINF_350055600,LINF_350057500,LINF_360012800,LINF_360021400,LINF_360021500,LINF_360030000,LINF_360054700,LINF_360054800,	10.1	2.09	2.36	0.000233456976707	0.0184431011599	0.0553293034797
GO:0004672	protein kinase activity	210	22	LINF_020006200,LINF_070015200,LINF_080013800,LINF_150015500,LINF_180011700,LINF_190010800,LINF_190018400,LINF_220010400,LINF_250012200,LINF_300040500,LINF_320018600,LINF_330028600,LINF_340026700,LINF_350028500,LINF_350055600,LINF_350057500,LINF_360012800,LINF_360021400,LINF_360021500,LINF_360030000,LINF_360054700,LINF_360054800,	10.5	2.16	2.43	0.000443301227347	0.0262655977203	0.105062390881
GO:0016289	CoA hydrolase activity	5	3	LINF_320043700,LINF_320043800,LINF_320043900,	60.0	12.39	29.84	0.00104275016245	0.0411886314168	0.247131788501
GO:0003860	3-hydroxyisobutyryl-CoA hydrolase activity	5	3	LINF_320043700,LINF_320043800,LINF_320043900,	60.0	12.39	29.84	0.00104275016245	0.0411886314168	0.247131788501
GO:0020037	heme binding	18	5	LINF_070013900,LINF_300041300,LINF_340026700,LINF_340040300,LINF_350013300,	27.8	5.74	7.7	0.00130068480451	0.0440374712384	0.308262298669
GO:0016301	kinase activity	290	26	LINF_020006200,LINF_070015200,LINF_080013800,LINF_110016000,LINF_150015500,LINF_180007900,LINF_180011700,LINF_190010800,LINF_190018400,LINF_220010400,LINF_250012200,LINF_290020900,LINF_300040500,LINF_320018600,LINF_330028600,LINF_340026700,LINF_350028500,LINF_350032700,LINF_350055600,LINF_350057500,LINF_360012800,LINF_360021400,LINF_360021500,LINF_360030000,LINF_360054700,LINF_360054800,	9.0	1.85	2.05	0.00148887666298	0.0441079711407	0.352863769126
GO:0015662	P-type ion transporter activity	6	3	LINF_180020600,LINF_180020700,LINF_180020800,	50.0	10.33	19.89	0.00201102880344	0.0461232324315	0.476613826416
GO:0140358	P-type transmembrane transporter activity	6	3	LINF_180020600,LINF_180020700,LINF_180020800,	50.0	10.33	19.89	0.00201102880344	0.0461232324315	0.476613826416
