chrom,tag,estimated_somies,measured_somies
1,default,3,2.821
2,default,3,2.993
3,default,3,2.927
4,default,2,1.934
5,default,4,3.887
6,default,2,2.026
7,default,2,1.987
8,default,2,1.96
9,default,2,2.0
10,default,2,1.907
11,default,3,2.874
12,default,2,1.96
13,default,4,3.762
14,default,2,1.868
15,default,2,1.934
16,default,2,1.974
17,default,2,2.026
18,default,2,1.894
19,default,2,1.868
20,default,3,2.815
21,default,2,1.934
22,default,2,1.881
23,default,4,3.841
24,default,2,1.907
25,default,2,1.894
26,default,3,2.874
27,default,2,1.854
28,default,2,1.868
29,default,3,2.649
30,default,2,1.868
31,default,4,3.682
32,default,2,1.854
33,default,3,2.795
34,default,2,1.801
35,default,2,1.801
36,default,2,1.801
