chrom,tag,estimated_somies,measured_somies
1,default,1,1.026
2,default,2,2.091
3,default,2,2.117
4,default,2,2.0
5,default,2,2.026
6,default,2,2.117
7,default,2,2.065
8,default,2,2.078
9,default,2,2.013
10,default,2,1.831
11,default,2,1.987
12,default,2,1.961
13,default,2,2.013
14,default,2,1.935
15,default,2,2.026
16,default,2,2.078
17,default,2,2.065
18,default,2,1.935
19,default,2,1.948
20,default,2,1.987
21,default,2,2.0
22,default,2,2.013
23,default,2,2.013
24,default,2,1.987
25,default,3,2.987
26,default,2,2.013
27,default,2,1.896
28,default,2,1.974
29,default,3,2.844
30,default,2,1.922
31,default,4,3.675
32,default,2,1.909
33,default,3,2.844
34,default,2,1.87
35,default,2,1.844
36,default,2,1.857
