Geneid	Chr	Start	End	Strand	Length	../hyb2/mark_duplicates/hyb2.sorted.markdup.bam	../tar3/mark_duplicates/tar3.sorted.markdup.bam	../hyb1/mark_duplicates/hyb1.sorted.markdup.bam	../tar2/mark_duplicates/tar2.sorted.markdup.bam	../hyb3/mark_duplicates/hyb3.sorted.markdup.bam	../tar1/mark_duplicates/tar1.sorted.markdup.bam
gene-LtaPh_0100100	BLBS01000001.1	16326	17327	-	1002	392	235	701	181	60	420
gene-LtaPh_0100200	BLBS01000001.1	18452	20116	-	1665	2914	2262	4451	1089	603	2978
gene-LtaPh_0100400	BLBS01000001.1	24849	25409	-	561	129	266	233	170	39	378
gene-LtaPh_0100451	BLBS01000001.1	24961	25503	+	543	0	0	6	0	1	0
gene-LtaPh_0100500	BLBS01000001.1	27770	29767	-	1998	672	627	1116	417	99	1158
gene-LtaPh_0100600	BLBS01000001.1	30763	31491	-	729	256	438	407	316	74	529
gene-LtaPh_0100651	BLBS01000001.1	30791	31519	+	729	1	1	1	5	1	0
gene-LtaPh_0100700	BLBS01000001.1	32606	34384	-	1779	277	554	427	254	57	650
gene-LtaPh_0100800	BLBS01000001.1	35212	35925	-	714	129	243	261	158	22	357
gene-LtaPh_0100900	BLBS01000001.1	37424	38248	-	825	262	498	424	253	57	703
gene-LtaPh_0101000	BLBS01000001.1	38982	40037	-	1056	161	294	179	181	27	403
gene-LtaPh_0101100	BLBS01000001.1	41071	41676	-	606	428	457	715	210	103	582
gene-LtaPh_0101200	BLBS01000001.1	42845	44845	-	2001	1139	960	1889	473	215	1336
gene-LtaPh_0101300	BLBS01000001.1	46183	47610	-	1428	602	474	989	238	139	740
gene-LtaPh_0101400	BLBS01000001.1	49398	49646	-	249	137	84	220	60	30	153
gene-LtaPh_0101500	BLBS01000001.1	50324	50674	-	351	408	390	784	227	115	464
gene-LtaPh_0101551	BLBS01000001.1	50327	50656	+	330	0	0	0	0	0	0
gene-LtaPh_0101600	BLBS01000001.1	51552	51794	-	243	422	209	610	153	82	334
gene-LtaPh_0101700	BLBS01000001.1	54255	55460	-	1206	962	591	1764	214	182	846
gene-LtaPh_0101800	BLBS01000001.1	56766	59057	-	2292	1448	1317	2480	526	333	1512
gene-LtaPh_0101900	BLBS01000001.1	60350	60943	-	594	620	528	1230	283	156	690
gene-LtaPh_0102000	BLBS01000001.1	62009	63028	-	1020	196	173	382	92	51	232
gene-LtaPh_0102100	BLBS01000001.1	63871	66579	-	2709	2280	2504	4188	901	685	2568
gene-LtaPh_0102200	BLBS01000001.1	70184	71188	-	1005	832	663	1786	400	241	1218
gene-LtaPh_0102300	BLBS01000001.1	73640	74059	-	420	448	460	1047	130	88	655
gene-LtaPh_0102400	BLBS01000001.1	74776	77547	-	2772	2144	1153	3014	622	531	1701
gene-LtaPh_0102500	BLBS01000001.1	78328	80835	-	2508	717	701	1564	262	180	845
gene-LtaPh_0102600	BLBS01000001.1	82199	83500	-	1302	1074	915	2282	423	298	1374
gene-LtaPh_0102700	BLBS01000001.1	84157	84480	-	324	565	620	1169	321	171	718
gene-LtaPh_0102800	BLBS01000001.1	85973	87211	-	1239	645	539	1236	179	177	608
gene-LtaPh_0102900	BLBS01000001.1	88762	89280	-	519	1401	986	2452	577	390	1399
gene-LtaPh_0103000	BLBS01000001.1	90166	90345	-	180	1633	606	2179	520	396	1146
gene-LtaPh_0103100	BLBS01000001.1	90911	92074	-	1164	1670	819	2835	527	414	1226
gene-LtaPh_0103200	BLBS01000001.1	92447	92863	-	417	160	206	226	78	45	236
gene-LtaPh_0103300	BLBS01000001.1	93719	94738	+	1020	1016	824	1234	428	272	888
gene-LtaPh_0103400	BLBS01000001.1	95229	95861	+	633	1314	836	2265	520	332	927
gene-LtaPh_0103500	BLBS01000001.1	96401	96694	+	294	1063	452	1709	356	237	939
gene-LtaPh_0103600	BLBS01000001.1	97755	98525	+	771	821	653	1389	245	204	652
gene-LtaPh_0103700	BLBS01000001.1	100060	102264	+	2205	903	969	1551	296	252	1040
gene-LtaPh_0103800	BLBS01000001.1	102940	103830	+	891	574	598	1099	217	160	682
gene-LtaPh_0103900	BLBS01000001.1	104548	105126	+	579	821	824	1405	316	248	850
gene-LtaPh_0104000	BLBS01000001.1	105961	108492	+	2532	1934	1705	3378	780	521	2218
gene-LtaPh_0104100	BLBS01000001.1	109314	111860	+	2547	984	785	1981	340	255	1210
gene-LtaPh_0104200	BLBS01000001.1	112594	114381	+	1788	468	410	764	169	102	591
gene-LtaPh_0104251	BLBS01000001.1	115083	115778	-	696	11	8	25	23	5	29
gene-LtaPh_0104300	BLBS01000001.1	115146	115748	+	603	10862	10382	17885	10948	3648	16268
gene-LtaPh_0104331	BLBS01000001.1	116960	117634	-	675	7	18	19	12	7	15
gene-LtaPh_0104361	BLBS01000001.1	117002	117604	+	603	10706	10263	17755	10803	3485	16002
gene-LtaPh_0104400	BLBS01000001.1	118401	120680	+	2280	1474	1281	2760	563	388	1643
gene-LtaPh_0104500	BLBS01000001.1	122093	123859	+	1767	1685	1140	2718	397	269	1203
gene-LtaPh_0104600	BLBS01000001.1	126307	126963	+	657	923	775	1656	327	242	1080
gene-LtaPh_0104700	BLBS01000001.1	128895	134006	+	5112	6436	4830	9986	3057	1285	8641
