Geneid	Chr	Start	End	Strand	Length	hyb3/mark_duplicates/hyb3.sorted.markdup.bam	tar1/mark_duplicates/tar1.sorted.markdup.bam	inf3/mark_duplicates/inf3.sorted.markdup.bam	hyb2/mark_duplicates/hyb2.sorted.markdup.bam	tar2/mark_duplicates/tar2.sorted.markdup.bam	tar3/mark_duplicates/tar3.sorted.markdup.bam	hyb1/mark_duplicates/hyb1.sorted.markdup.bam	inf1/mark_duplicates/inf1.sorted.markdup.bam	inf2/mark_duplicates/inf2.sorted.markdup.bam
gene-LtaPh_0100100	BLBS01000001.1	16326	17327	-	1002	60	420	0	392	181	235	701	1	0
gene-LtaPh_0100200	BLBS01000001.1	18452	20116	-	1665	603	2978	0	2914	1089	2262	4451	13	0
gene-LtaPh_0100400	BLBS01000001.1	24849	25409	-	561	39	378	0	129	170	266	233	0	0
gene-LtaPh_0100451	BLBS01000001.1	24961	25503	+	543	1	0	0	0	0	0	6	0	0
gene-LtaPh_0100500	BLBS01000001.1	27770	29767	-	1998	99	1158	0	672	417	627	1116	2	0
gene-LtaPh_0100600	BLBS01000001.1	30763	31491	-	729	74	529	0	256	316	438	407	1	0
gene-LtaPh_0100651	BLBS01000001.1	30791	31519	+	729	1	0	0	1	5	1	1	0	0
gene-LtaPh_0100700	BLBS01000001.1	32606	34384	-	1779	57	650	0	277	254	554	427	0	0
gene-LtaPh_0100800	BLBS01000001.1	35212	35925	-	714	22	357	0	129	158	243	261	2	0
gene-LtaPh_0100900	BLBS01000001.1	37424	38248	-	825	57	703	0	262	253	498	424	0	0
gene-LtaPh_0101000	BLBS01000001.1	38982	40037	-	1056	27	403	0	161	181	294	179	0	0
gene-LtaPh_0101100	BLBS01000001.1	41071	41676	-	606	103	582	0	428	210	457	715	1	0
gene-LtaPh_0101200	BLBS01000001.1	42845	44845	-	2001	215	1336	0	1139	473	960	1889	1	0
gene-LtaPh_0101300	BLBS01000001.1	46183	47610	-	1428	139	740	0	602	238	474	989	3	1
gene-LtaPh_0101400	BLBS01000001.1	49398	49646	-	249	30	153	0	137	60	84	220	0	0
gene-LtaPh_0101500	BLBS01000001.1	50324	50674	-	351	115	464	1	408	227	390	784	5	2
gene-LtaPh_0101551	BLBS01000001.1	50327	50656	+	330	0	0	0	0	0	0	0	0	0
gene-LtaPh_0101600	BLBS01000001.1	51552	51794	-	243	82	334	0	422	153	209	610	1	0
gene-LtaPh_0101700	BLBS01000001.1	54255	55460	-	1206	182	846	0	962	214	591	1764	2	0
gene-LtaPh_0101800	BLBS01000001.1	56766	59057	-	2292	333	1512	3	1448	526	1317	2480	21	3
gene-LtaPh_0101900	BLBS01000001.1	60350	60943	-	594	156	690	0	620	283	528	1230	5	0
gene-LtaPh_0102000	BLBS01000001.1	62009	63028	-	1020	51	232	0	196	92	173	382	4	0
gene-LtaPh_0102100	BLBS01000001.1	63871	66579	-	2709	685	2568	0	2280	901	2504	4188	7	0
gene-LtaPh_0102200	BLBS01000001.1	70184	71188	-	1005	241	1218	0	832	400	663	1786	7	0
gene-LtaPh_0102300	BLBS01000001.1	73640	74059	-	420	88	655	5	448	130	460	1047	31	8
gene-LtaPh_0102400	BLBS01000001.1	74776	77547	-	2772	531	1701	0	2144	622	1153	3014	8	0
gene-LtaPh_0102500	BLBS01000001.1	78328	80835	-	2508	180	845	0	717	262	701	1564	5	0
gene-LtaPh_0102600	BLBS01000001.1	82199	83500	-	1302	298	1374	0	1074	423	915	2282	5	0
gene-LtaPh_0102700	BLBS01000001.1	84157	84480	-	324	171	718	0	565	321	620	1169	2	0
gene-LtaPh_0102800	BLBS01000001.1	85973	87211	-	1239	177	608	0	645	179	539	1236	5	0
gene-LtaPh_0102900	BLBS01000001.1	88762	89280	-	519	390	1399	0	1401	577	986	2452	5	1
gene-LtaPh_0103000	BLBS01000001.1	90166	90345	-	180	396	1146	0	1633	520	606	2179	3	0
gene-LtaPh_0103100	BLBS01000001.1	90911	92074	-	1164	414	1226	0	1670	527	819	2835	13	0
gene-LtaPh_0103200	BLBS01000001.1	92447	92863	-	417	45	236	0	160	78	206	226	1	0
gene-LtaPh_0103300	BLBS01000001.1	93719	94738	+	1020	272	888	0	1016	428	824	1234	6	0
gene-LtaPh_0103400	BLBS01000001.1	95229	95861	+	633	332	927	0	1314	520	836	2265	5	0
gene-LtaPh_0103500	BLBS01000001.1	96401	96694	+	294	237	939	0	1063	356	452	1709	7	0
gene-LtaPh_0103600	BLBS01000001.1	97755	98525	+	771	204	652	0	821	245	653	1389	1	0
gene-LtaPh_0103700	BLBS01000001.1	100060	102264	+	2205	252	1040	0	903	296	969	1551	10	0
gene-LtaPh_0103800	BLBS01000001.1	102940	103830	+	891	160	682	0	574	217	598	1099	1	0
gene-LtaPh_0103900	BLBS01000001.1	104548	105126	+	579	248	850	0	821	316	824	1405	9	3
gene-LtaPh_0104000	BLBS01000001.1	105961	108492	+	2532	521	2218	0	1934	780	1705	3378	14	0
gene-LtaPh_0104100	BLBS01000001.1	109314	111860	+	2547	255	1210	0	984	340	785	1981	1	0
gene-LtaPh_0104200	BLBS01000001.1	112594	114381	+	1788	102	591	0	468	169	410	764	4	0
gene-LtaPh_0104251	BLBS01000001.1	115083	115778	-	696	5	29	2	11	23	8	25	5	4
gene-LtaPh_0104300	BLBS01000001.1	115146	115748	+	603	3648	16268	408	10862	10948	10382	17885	1081	312
gene-LtaPh_0104331	BLBS01000001.1	116960	117634	-	675	7	15	0	7	12	18	19	3	0
gene-LtaPh_0104361	BLBS01000001.1	117002	117604	+	603	3485	16002	365	10706	10803	10263	17755	1133	350
gene-LtaPh_0104400	BLBS01000001.1	118401	120680	+	2280	388	1643	0	1474	563	1281	2760	7	1
gene-LtaPh_0104500	BLBS01000001.1	122093	123859	+	1767	269	1203	0	1685	397	1140	2718	5	1
gene-LtaPh_0104600	BLBS01000001.1	126307	126963	+	657	242	1080	0	923	327	775	1656	4	0
gene-LtaPh_0104700	BLBS01000001.1	128895	134006	+	5112	1285	8641	0	6436	3057	4830	9986	22	1
gene-LtaPh_0104800	BLBS01000001.1	137127	139214	+	2088	652	2741	24	2523	1019	1737	4629	53	21
gene-LtaPh_0104900	BLBS01000001.1	140520	142031	+	1512	367	3215	0	1490	1092	1256	2154	10	0
gene-LtaPh_0105000	BLBS01000001.1	143944	146040	+	2097	365	1124	17	1928	413	987	3204	38	18
