# Program:featureCounts v2.0.1; Command:"/usr/local/anaconda/bin/featureCounts" "-a" "../../tarinf.gff" "../hyb.sorted.bam" "-o" "test.out" "-g" "ID" "-t" "gene" "-M" "-p" "-O" 
Geneid	Chr	Start	End	Strand	Length	../hyb.sorted.bam
gene-LtaPh_0100100	BLBS01000001.1	16326	17327	-	1002	429
gene-LtaPh_0100200	BLBS01000001.1	18452	20116	-	1665	678
gene-LtaPh_0100400	BLBS01000001.1	24849	25409	-	561	354
gene-LtaPh_0100451	BLBS01000001.1	24961	25503	+	543	349
gene-LtaPh_0100500	BLBS01000001.1	27770	29767	-	1998	731
gene-LtaPh_0100600	BLBS01000001.1	30763	31491	-	729	403
gene-LtaPh_0100651	BLBS01000001.1	30791	31519	+	729	402
gene-LtaPh_0100700	BLBS01000001.1	32606	34384	-	1779	657
gene-LtaPh_0100800	BLBS01000001.1	35212	35925	-	714	303
gene-LtaPh_0100900	BLBS01000001.1	37424	38248	-	825	370
gene-LtaPh_0101000	BLBS01000001.1	38982	40037	-	1056	478
gene-LtaPh_0101100	BLBS01000001.1	41071	41676	-	606	337
gene-LtaPh_0101200	BLBS01000001.1	42845	44845	-	2001	741
gene-LtaPh_0101300	BLBS01000001.1	46183	47610	-	1428	649
gene-LtaPh_0101400	BLBS01000001.1	49398	49646	-	249	163
gene-LtaPh_0101500	BLBS01000001.1	50324	50674	-	351	237
gene-LtaPh_0101551	BLBS01000001.1	50327	50656	+	330	227
gene-LtaPh_0101600	BLBS01000001.1	51552	51794	-	243	197
gene-LtaPh_0101700	BLBS01000001.1	54255	55460	-	1206	528
gene-LtaPh_0101800	BLBS01000001.1	56766	59057	-	2292	947
gene-LtaPh_0101900	BLBS01000001.1	60350	60943	-	594	369
gene-LtaPh_0102000	BLBS01000001.1	62009	63028	-	1020	396
gene-LtaPh_0102100	BLBS01000001.1	63871	66579	-	2709	1122
gene-LtaPh_0102200	BLBS01000001.1	70184	71188	-	1005	470
gene-LtaPh_0102300	BLBS01000001.1	73640	74059	-	420	296
gene-LtaPh_0102400	BLBS01000001.1	74776	77547	-	2772	1162
gene-LtaPh_0102500	BLBS01000001.1	78328	80835	-	2508	973
gene-LtaPh_0102600	BLBS01000001.1	82199	83500	-	1302	631
gene-LtaPh_0102700	BLBS01000001.1	84157	84480	-	324	248
gene-LtaPh_0102800	BLBS01000001.1	85973	87211	-	1239	580
gene-LtaPh_0102900	BLBS01000001.1	88762	89280	-	519	273
gene-LtaPh_0103000	BLBS01000001.1	90166	90345	-	180	199
gene-LtaPh_0103100	BLBS01000001.1	90911	92074	-	1164	487
gene-LtaPh_0103200	BLBS01000001.1	92447	92863	-	417	229
gene-LtaPh_0103300	BLBS01000001.1	93719	94738	+	1020	423
gene-LtaPh_0103400	BLBS01000001.1	95229	95861	+	633	303
gene-LtaPh_0103500	BLBS01000001.1	96401	96694	+	294	220
gene-LtaPh_0103600	BLBS01000001.1	97755	98525	+	771	338
