ID	Name	Bgd count	Result count	Result gene list	Pct of bgd	Fold enrichment	Odds ratio	P-value	Benjamini	Bonferroni
GO:0055085	transmembrane transport	192	20	LINF_020008000,LINF_110018150,LINF_110018350,LINF_110018700,LINF_280006400,LINF_280025700,LINF_280025800,LINF_310039500,LINF_310039600,LINF_330027100,LINF_350041200,LINF_360072800,LINF_360072900,LINF_360073000,LINF_360073100,LINF_360073200,LINF_360073300,LINF_360073400,LINF_360073500,LINF_360073600,	10.4	4.55	5.84	7.53917722098e-09	1.55307050752e-06	1.55307050752e-06
GO:0008150	biological process	2508	82	LINF_020006700,LINF_020006800,LINF_020006900,LINF_020007000,LINF_020007100,LINF_020008000,LINF_040007600,LINF_080014700,LINF_080014800,LINF_080014900,LINF_080015000,LINF_080015100,LINF_080015200,LINF_080015300,LINF_080015400,LINF_080015500,LINF_090006400,LINF_090011900,LINF_100008900,LINF_110018150,LINF_110018350,LINF_110018700,LINF_130006900,LINF_130007700,LINF_130007800,LINF_130007900,LINF_130008000,LINF_130008100,LINF_130008200,LINF_130008300,LINF_130008400,LINF_130008500,LINF_130008600,LINF_130008700,LINF_130008800,LINF_180009900,LINF_210014200,LINF_210018200,LINF_210018300,LINF_230017200,LINF_250014900,LINF_250021300,LINF_260014900,LINF_270010000,LINF_270011100,LINF_280006400,LINF_280013100,LINF_280025700,LINF_280025800,LINF_300011800,LINF_300011900,LINF_300012000,LINF_300034800,LINF_310019900,LINF_310039500,LINF_310039600,LINF_320041600,LINF_330010500,LINF_330027100,LINF_330032500,LINF_340033900,LINF_340039100,LINF_350014400,LINF_350014500,LINF_350027300,LINF_350027400,LINF_350027500,LINF_350029400,LINF_350041200,LINF_360015100,LINF_360015200,LINF_360030300,LINF_360041100,LINF_360072800,LINF_360072900,LINF_360073000,LINF_360073100,LINF_360073200,LINF_360073300,LINF_360073400,LINF_360073500,LINF_360073600,	3.3	1.43	2.7	1.09598236936e-06	0.000112886184044	0.000225772368087
GO:0007017	microtubule-based process	163	15	LINF_090006400,LINF_130007700,LINF_130007800,LINF_130007900,LINF_130008000,LINF_130008100,LINF_130008200,LINF_130008300,LINF_130008400,LINF_130008500,LINF_130008600,LINF_130008700,LINF_130008800,LINF_350027400,LINF_350027500,	9.2	4.02	4.85	3.3890538489e-06	0.000232715030958	0.000698145092874
GO:1904659	glucose transmembrane transport	3	3	LINF_360072800,LINF_360073200,LINF_360073600,	100.0	43.72	inf	1.16514453836e-05	0.00026668863878	0.00240019774902
GO:0034219	carbohydrate transmembrane transport	3	3	LINF_360072800,LINF_360073200,LINF_360073600,	100.0	43.72	inf	1.16514453836e-05	0.00026668863878	0.00240019774902
GO:0008645	hexose transmembrane transport	3	3	LINF_360072800,LINF_360073200,LINF_360073600,	100.0	43.72	inf	1.16514453836e-05	0.00026668863878	0.00240019774902
GO:0008284	positive regulation of cell population proliferation	3	3	LINF_350027300,LINF_350027400,LINF_350027500,	100.0	43.72	inf	1.16514453836e-05	0.00026668863878	0.00240019774902
GO:0006952	defense response	3	3	LINF_350027300,LINF_350027400,LINF_350027500,	100.0	43.72	inf	1.16514453836e-05	0.00026668863878	0.00240019774902
GO:0015749	monosaccharide transmembrane transport	3	3	LINF_360072800,LINF_360073200,LINF_360073600,	100.0	43.72	inf	1.16514453836e-05	0.00026668863878	0.00240019774902
GO:0006508	proteolysis	165	14	LINF_080014700,LINF_080014800,LINF_080014900,LINF_080015000,LINF_080015100,LINF_080015200,LINF_080015300,LINF_080015400,LINF_080015500,LINF_090011900,LINF_250021300,LINF_270010000,LINF_270011100,LINF_350029400,	8.5	3.71	4.39	1.8946410691e-05	0.000390296060235	0.00390296060235
