ID	Name	Bgd count	Result count	Result gene list	Pct of bgd	Fold enrichment	Odds ratio	P-value	Benjamini	Bonferroni
GO:0016310	phosphorylation	231	26	LINF_020006200,LINF_070015200,LINF_080013800,LINF_110016000,LINF_150015500,LINF_180011700,LINF_190010800,LINF_190018400,LINF_220010400,LINF_250012200,LINF_300040500,LINF_320018600,LINF_330028600,LINF_340026700,LINF_350028500,LINF_350032700,LINF_350055600,LINF_350057500,LINF_360012800,LINF_360018400,LINF_360021400,LINF_360021500,LINF_360030000,LINF_360030600,LINF_360054700,LINF_360054800,	11.3	2.32	2.68	3.88990630775e-05	0.0194802152396	0.0202664118634
GO:0140115	export across plasma membrane	3	3	LINF_180020600,LINF_180020700,LINF_180020800,	100.0	20.65	inf	0.000112170145334	0.0194802152396	0.0584406457188
GO:0120029	proton export across plasma membrane	3	3	LINF_180020600,LINF_180020700,LINF_180020800,	100.0	20.65	inf	0.000112170145334	0.0194802152396	0.0584406457188
GO:0006468	protein phosphorylation	205	22	LINF_020006200,LINF_070015200,LINF_080013800,LINF_150015500,LINF_180011700,LINF_190010800,LINF_190018400,LINF_220010400,LINF_250012200,LINF_300040500,LINF_320018600,LINF_330028600,LINF_340026700,LINF_350028500,LINF_350055600,LINF_350057500,LINF_360012800,LINF_360021400,LINF_360021500,LINF_360030000,LINF_360054700,LINF_360054800,	10.7	2.22	2.5	0.000315330730312	0.0410718276231	0.164287310492
GO:0019752	carboxylic acid metabolic process	138	15	LINF_050015100,LINF_110016000,LINF_140010000,LINF_140012900,LINF_140013000,LINF_220021600,LINF_230007900,LINF_230008300,LINF_240023800,LINF_260021100,LINF_290021300,LINF_360018400,LINF_360030600,LINF_360046900,LINF_360047000,	10.9	2.24	2.49	0.00252878188203	0.211388172861	1.0
GO:0043436	oxoacid metabolic process	140	15	LINF_050015100,LINF_110016000,LINF_140010000,LINF_140012900,LINF_140013000,LINF_220021600,LINF_230007900,LINF_230008300,LINF_240023800,LINF_260021100,LINF_290021300,LINF_360018400,LINF_360030600,LINF_360046900,LINF_360047000,	10.7	2.21	2.45	0.00291179537163	0.211388172861	1.0
GO:1901605	alpha-amino acid metabolic process	41	7	LINF_050015100,LINF_140010000,LINF_230007900,LINF_260021100,LINF_290021300,LINF_360046900,LINF_360047000,	17.1	3.53	4.14	0.00312664581501	0.211388172861	1.0
GO:0006082	organic acid metabolic process	142	15	LINF_050015100,LINF_110016000,LINF_140010000,LINF_140012900,LINF_140013000,LINF_220021600,LINF_230007900,LINF_230008300,LINF_240023800,LINF_260021100,LINF_290021300,LINF_360018400,LINF_360030600,LINF_360046900,LINF_360047000,	10.6	2.18	2.41	0.00334152921616	0.211388172861	1.0
GO:0009069	serine family amino acid metabolic process	14	4	LINF_050015100,LINF_140010000,LINF_360046900,LINF_360047000,	28.6	5.9	7.98	0.00365161910892	0.211388172861	1.0
GO:0046394	carboxylic acid biosynthetic process	46	7	LINF_050015100,LINF_140010000,LINF_140012900,LINF_140013000,LINF_230007900,LINF_240023800,LINF_290021300,	15.2	3.14	3.6	0.00606106543136	0.235551752858	1.0
