Geneid	Chr	Start	End	Strand	Length	hyb1/add_read_group/hyb1.sorted.bam	tar2/add_read_group/tar2.sorted.bam	inf1/add_read_group/inf1.sorted.bam	inf2/add_read_group/inf2.sorted.bam	tar3/add_read_group/tar3.sorted.bam	tar1/add_read_group/tar1.sorted.bam	hyb3/add_read_group/hyb3.sorted.bam	hyb2/add_read_group/hyb2.sorted.bam	inf3/add_read_group/inf3.sorted.bam
gene-LINF_010005000	LR812934.1	3710	4711	-	1002	1110	7	5379	2021	11	26	115	779	976
gene-LINF_010005100	LR812934.1	5804	7438	-	1635	753	120	2602	1087	212	253	120	625	754
gene-LINF_010005200	LR812934.1	9038	11059	-	2022	1623	390	4128	1790	495	1067	182	1053	1612
gene-LINF_010005300	LR812934.1	12041	12601	-	561	273	23	1767	826	42	54	47	203	609
gene-LINF_010005400	LR812934.1	14957	16954	-	1998	974	96	4202	1432	143	246	124	569	938
gene-LINF_010005500	LR812934.1	18110	18859	-	750	346	44	1869	593	63	89	58	195	825
gene-LINF_010005600	LR812934.1	19950	21689	-	1740	426	14	2568	1012	44	44	48	303	773
gene-LINF_010005700	LR812934.1	22529	23242	-	714	229	36	1591	573	50	57	32	125	485
gene-LINF_010005800	LR812934.1	24799	25617	-	819	104	3	922	331	3	7	21	76	354
gene-LINF_010005900	LR812934.1	26313	27269	-	957	151	48	1007	341	75	93	20	112	370
gene-LINF_010006000	LR812934.1	28369	28956	-	588	526	66	2159	833	148	229	68	337	876
gene-LINF_010006100	LR812934.1	30160	32133	-	1974	838	18	4675	1632	49	39	130	563	1378
gene-LINF_010006200	LR812934.1	33423	34517	-	1095	308	2	1738	707	15	25	47	173	596
gene-LINF_010006300	LR812934.1	36819	37067	-	249	122	11	405	182	23	48	17	67	156
gene-LINF_010006400	LR812934.1	37805	38155	-	351	389	72	1094	341	133	141	55	230	432
gene-LINF_010006500	LR812934.1	39020	39262	-	243	131	13	676	331	11	26	26	101	342
gene-LINF_010006600	LR812934.1	41389	42762	-	1374	704	3	3725	1417	11	18	92	494	1226
gene-LINF_010006700	LR812934.1	44184	46496	-	2313	1886	192	6274	1692	500	585	278	1122	3192
gene-LINF_010006800	LR812934.1	47933	48556	-	624	599	56	2157	737	86	135	92	359	910
gene-LINF_010006900	LR812934.1	49244	50050	-	807	308	13	1808	682	40	42	44	149	530
gene-LINF_010007000	LR812934.1	51015	53711	-	2697	1166	100	5112	1623	310	259	177	638	1865
gene-LINF_010007100	LR812934.1	57346	58350	-	1005	627	40	4040	1413	78	123	91	283	1358
gene-LINF_010007200	LR812934.1	61569	61985	-	417	512	54	1805	610	174	182	53	260	551
gene-LINF_010007300	LR812934.1	62737	65505	-	2769	901	77	3922	1210	156	191	161	511	1362
gene-LINF_010007400	LR812934.1	66313	68700	-	2388	342	20	2127	600	38	56	54	166	792
